Date,Open,High,Low,Close,Adj Close,Volume
2021-07-16,2085.000000,2114.500000,2085.000000,2111.800049,2111.800049,333073
2021-07-19,2104.000000,2124.000000,2093.000000,2099.100098,2099.100098,1466286
2021-07-20,2097.350098,2108.100098,2084.000000,2093.600098,2093.600098,262169
2021-07-22,2111.199951,2124.100098,2098.800049,2121.000000,2121.000000,170937
2021-07-23,2135.000000,2135.000000,2102.850098,2105.199951,2105.199951,253418
2021-07-26,2110.000000,2121.600098,2071.699951,2077.699951,2077.699951,378150
2021-07-27,2079.000000,2083.500000,2041.199951,2054.300049,2054.300049,271432
2021-07-28,2060.100098,2060.149902,2016.599976,2036.849976,2036.849976,207230
2021-07-29,2050.000000,2074.399902,2043.750000,2055.250000,2055.250000,142646
2021-07-30,2055.250000,2068.149902,2030.400024,2035.400024,2035.400024,228312
2021-08-02,2047.199951,2079.000000,2041.000000,2071.500000,2071.500000,406792
2021-08-03,2085.000000,2091.250000,2064.149902,2086.899902,2086.899902,318185
2021-08-04,2097.600098,2114.100098,2087.000000,2103.550049,2103.550049,297852
2021-08-05,2116.899902,2154.600098,2104.300049,2133.300049,2133.300049,357064
2021-08-06,2125.199951,2146.000000,2079.199951,2089.050049,2089.050049,336073
2021-08-09,2076.199951,2089.500000,2065.800049,2077.250000,2077.250000,236037
2021-08-10,2084.699951,2112.800049,2073.550049,2088.399902,2088.399902,415981
2021-08-11,2099.000000,2119.500000,2082.550049,2116.100098,2116.100098,346083
2021-08-12,2125.050049,2126.750000,2105.399902,2110.250000,2110.250000,235334
2021-08-13,2115.800049,2149.800049,2110.149902,2144.750000,2144.750000,208107
2021-08-16,2146.500000,2202.000000,2128.699951,2172.449951,2172.449951,361511
2021-08-17,2170.000000,2185.000000,2148.300049,2163.949951,2163.949951,183210
2021-08-18,2175.000000,2186.000000,2152.699951,2171.550049,2171.550049,148076
2021-08-20,2148.000000,2171.699951,2138.000000,2146.199951,2146.199951,254217
2021-08-23,2168.000000,2171.949951,2132.449951,2162.399902,2162.399902,133580
2021-08-24,2163.899902,2191.899902,2155.449951,2182.800049,2182.800049,270903
2021-08-25,2183.699951,2219.899902,2180.000000,2202.300049,2202.300049,208006
2021-08-26,2207.000000,2244.850098,2204.899902,2230.649902,2230.649902,213604
2021-08-27,2232.000000,2242.350098,2215.899902,2226.750000,2226.750000,178133
2021-08-30,2240.000000,2275.000000,2239.600098,2270.050049,2270.050049,161691
2021-08-31,2275.250000,2283.000000,2242.500000,2259.300049,2259.300049,376864
2021-09-01,2275.000000,2292.899902,2130.000000,2269.750000,2269.750000,299873
2021-09-02,2260.000000,2307.000000,2258.449951,2293.649902,2293.649902,293438
2021-09-03,2307.500000,2394.300049,2306.800049,2388.250000,2388.250000,543323
2021-09-06,2414.000000,2479.850098,2413.350098,2424.550049,2424.550049,601994
2021-09-07,2429.100098,2458.000000,2412.000000,2441.300049,2441.300049,276017
2021-09-08,2454.000000,2455.000000,2406.149902,2430.600098,2430.600098,233017
2021-09-09,2430.949951,2438.300049,2416.000000,2425.449951,2425.449951,102685
2021-09-13,2428.000000,2430.000000,2368.100098,2371.550049,2371.550049,224625
2021-09-14,2378.000000,2394.000000,2366.100098,2368.300049,2368.300049,241961
2021-09-15,2372.000000,2395.250000,2368.850098,2378.949951,2378.949951,76028
2021-09-16,2379.000000,2436.000000,2367.000000,2428.100098,2428.100098,408347
2021-09-17,2445.000000,2455.800049,2378.800049,2390.399902,2390.399902,231182
2021-09-20,2375.000000,2418.000000,2370.000000,2393.899902,2393.899902,215248
2021-09-21,2411.000000,2416.000000,2384.649902,2404.149902,2404.149902,376728
2021-09-22,2409.000000,2441.250000,2398.149902,2430.600098,2430.600098,272044
2021-09-23,2445.000000,2496.949951,2445.000000,2489.649902,2489.649902,3174137
2021-09-24,2500.000000,2504.699951,2472.000000,2482.949951,2482.949951,288081
2021-09-27,2484.199951,2529.000000,2475.500000,2525.199951,2525.199951,314356
2021-09-28,2531.000000,2565.000000,2512.199951,2548.050049,2548.050049,1214524
2021-09-29,2562.000000,2563.899902,2520.000000,2527.250000,2527.250000,2433923
2021-09-30,2527.850098,2534.100098,2500.750000,2517.000000,2517.000000,270456
2021-10-01,2506.000000,2539.850098,2495.850098,2522.850098,2522.850098,2866109
2021-10-04,2549.899902,2574.649902,2537.550049,2555.850098,2555.850098,1315342
2021-10-05,2565.000000,2612.000000,2547.300049,2609.100098,2609.100098,287513
2021-10-06,2623.000000,2623.000000,2550.050049,2560.199951,2560.199951,134604
2021-10-07,2600.000000,2600.000000,2568.100098,2572.149902,2572.149902,133140
2021-10-08,2580.000000,2683.899902,2580.000000,2670.850098,2670.850098,328023
2021-10-11,2724.699951,2724.699951,2645.050049,2651.149902,2651.149902,2880808
2021-10-12,2641.000000,2682.750000,2641.000000,2668.550049,2668.550049,129947
2021-10-13,2683.000000,2719.500000,2669.000000,2695.899902,2695.899902,229201
2021-10-14,2705.000000,2717.699951,2687.149902,2699.850098,2699.850098,152754
2021-10-18,2684.000000,2744.949951,2660.000000,2707.000000,2707.000000,161592
2021-10-19,2726.000000,2750.000000,2708.000000,2731.500000,2731.500000,108463
2021-10-20,2740.000000,2744.100098,2691.449951,2699.899902,2699.899902,2747085
2021-10-21,2725.949951,2725.949951,2603.000000,2623.000000,2623.000000,395833
2021-10-22,2623.800049,2664.699951,2611.399902,2627.050049,2627.050049,299137
2021-10-25,2699.000000,2699.000000,2570.100098,2601.649902,2601.649902,424305
2021-10-26,2614.449951,2668.850098,2603.350098,2661.500000,2661.500000,387791
2021-10-27,2659.800049,2677.000000,2620.000000,2632.649902,2632.649902,240760
