Date,Open,High,Low,Close,Adj Close,Volume
2021-10-22,758.000000,765.549988,753.250000,759.099976,759.099976,405060
2021-10-25,800.000000,859.700012,798.450012,841.049988,841.049988,2787317
2021-10-26,824.299988,841.849976,822.599976,829.000000,829.000000,347321
2021-10-27,829.150024,849.000000,824.000000,835.349976,835.349976,603954
2021-10-28,825.000000,830.099976,796.099976,798.650024,798.650024,370293
2021-10-29,799.900024,808.750000,784.000000,802.299988,802.299988,327939
2021-11-01,808.000000,809.750000,793.000000,804.450012,804.450012,471603
2021-11-02,809.000000,809.750000,798.549988,800.750000,800.750000,194532
2021-11-03,805.049988,805.549988,780.750000,785.750000,785.750000,217840
2021-11-04,789.500000,793.500000,779.000000,782.400024,782.400024,124872
2021-11-08,790.200012,791.250000,773.200012,780.250000,780.250000,306312
2021-11-09,784.750000,788.500000,779.349976,786.650024,786.650024,283900
2021-11-10,783.200012,784.299988,773.049988,780.799988,780.799988,222947
2021-11-11,777.000000,777.000000,766.299988,772.299988,772.299988,230623
2021-11-12,773.000000,779.950012,771.099976,776.799988,776.799988,272151
2021-11-15,777.000000,784.500000,771.700012,773.349976,773.349976,300255
2021-11-16,771.250000,776.000000,762.000000,764.500000,764.500000,395364
2021-11-17,761.799988,771.599976,757.200012,761.250000,761.250000,332319
2021-11-18,765.799988,767.450012,756.549988,763.200012,763.200012,889498
2021-11-22,766.950012,769.799988,740.150024,752.950012,752.950012,730346
2021-11-23,743.000000,757.950012,731.200012,751.849976,751.849976,583435
2021-11-24,751.700012,772.250000,746.750000,760.200012,760.200012,510205
2021-11-25,758.000000,758.000000,745.549988,750.900024,750.900024,568850
2021-11-26,740.700012,742.099976,718.400024,721.950012,721.950012,564268
2021-11-29,724.549988,726.799988,710.799988,718.200012,718.200012,491456
2021-11-30,717.900024,732.250000,711.000000,714.299988,714.299988,654808
2021-12-01,715.599976,732.700012,715.599976,728.250000,728.250000,270917
2021-12-02,726.000000,727.099976,715.250000,722.549988,722.549988,566577
2021-12-03,720.650024,729.599976,715.150024,716.599976,716.599976,737874
2021-12-06,717.500000,726.750000,707.849976,710.049988,710.049988,1008313
2021-12-07,716.099976,740.799988,712.200012,734.650024,734.650024,5371409
2021-12-08,748.900024,758.799988,744.250000,753.400024,753.400024,2011388
2021-12-09,757.349976,763.000000,748.599976,755.250000,755.250000,948281
2021-12-10,755.900024,759.400024,751.099976,758.000000,758.000000,655733
2021-12-13,763.900024,769.650024,752.450012,753.950012,753.950012,721526
2021-12-14,751.900024,764.299988,746.400024,758.849976,758.849976,438793
2021-12-15,758.900024,759.500000,751.000000,752.599976,752.599976,515701
2021-12-16,756.500000,757.900024,738.950012,741.299988,741.299988,802607
2021-12-17,741.000000,741.299988,726.200012,728.200012,728.200012,617552
2021-12-20,718.000000,720.000000,698.150024,710.049988,710.049988,652668
2021-12-21,723.799988,728.849976,716.450012,720.349976,720.349976,816383
2021-12-22,724.250000,735.000000,720.200012,732.900024,732.900024,549531
2021-12-23,737.299988,739.000000,728.099976,731.000000,731.000000,517208
2021-12-24,732.200012,733.900024,719.750000,727.450012,727.450012,430226
2021-12-27,720.250000,738.650024,716.000000,735.750000,735.750000,434995
2021-12-28,741.700012,742.700012,732.500000,736.049988,736.049988,564828
2021-12-29,738.849976,745.000000,731.750000,735.650024,735.650024,401768
2021-12-30,733.000000,740.500000,729.099976,735.849976,735.849976,376276
2021-12-31,737.000000,746.200012,736.950012,740.250000,740.250000,358900
2022-01-03,743.900024,765.500000,743.099976,764.750000,764.750000,628082
2022-01-04,766.400024,778.000000,763.400024,772.900024,772.900024,544699
2022-01-05,772.900024,795.549988,771.150024,787.599976,787.599976,970721
2022-01-06,776.400024,792.400024,774.099976,785.049988,785.049988,379175
2022-01-07,792.000000,802.299988,786.200012,793.349976,793.349976,456019
2022-01-10,798.200012,812.299988,798.200012,810.500000,810.500000,532562
2022-01-11,808.000000,814.400024,802.099976,810.450012,810.450012,210084
